s;w
2114;169
2115;158
2116;154
2117;146
2118;130
2119;121
2120;153
2121;107
2122;119
2123;118
2124;123
2125;138
2126;106
2127;137
2128;124
2129;139
2130;126
2131;175
2132;154
2133;160
2134;114
2135;122
2136;137
2137;137
2138;137
2139;159
2140;152
2141;128
2142;136
2143;99
2144;163
2145;102
2146;200
2147;174
2148;171
2149;175
2150;166
2151;166
2152;186
2153;149
2154;116
2155;127
2156;143
2157;143
2158;143
2159;167
2160;150
2161;138
2162;153
2163;148
2164;137
2165;164
2166;176
2167;153
2168;144
2169;138
2170;138
2171;145
2172;148
2173;135
2174;175
2175;167
2176;162
2177;149
2178;203
2179;143
2180;145
2181;162
2182;154
2183;135
2184;138
2185;163
2186;164
2187;159
2188;149
2189;142
2190;155
2191;166
2192;166
2193;158
2194;141
2195;193
2196;136
2197;154
2198;172
2199;126
2200;163
2201;192
2202;117
2203;162
2204;141
2205;118
2206;154
2207;124
2208;145
2209;169
2210;157
2211;183
2212;149
2213;191
2214;125
2215;111
2216;181
2217;141
2218;125
2219;162
2220;138
2221;155
2222;138
2223;139
2224;147
2225;123
2226;120
2227;165
2228;142
2229;142
2230;245
2231;208
2232;157
2233;118
2234;120
2235;199
2236;105
2237;32
2238;23
2239;127
2240;180
2241;190
2242;189
2243;193
2244;227
2245;181
2246;192
2247;151
2248;179
2249;137
2250;154
2251;235
2252;131
2253;172
2254;212
2255;127
2256;172
2257;142
2258;110
2259;112
2260;157
2261;114
2262;118
2263;147
2264;127
2265;159
2266;128
2267;150
2268;194
2269;187
2270;211
2271;183
2272;193
2273;167
2274;183
2275;205
2276;169
2277;188
2278;197
2279;161
2280;196
2281;207
2282;195
2283;184
2284;178
2285;177
2286;189
2287;197
2288;185
2289;186
2290;182
2291;174
2292;187
2293;193
2294;178
2295;172
2296;172
2297;175
2298;176
2299;172
2300;168
2301;184
2302;195
2303;166
2304;178
2305;166
2306;181
2307;201
2308;185
2309;183
2310;183
2311;212
2312;179
2313;197
2314;209
2315;178
2316;176
2317;158
2318;158
2319;191
2320;171
2321;221
2322;188
2323;188
2324;187
2325;135
2326;115
2327;202
2328;136
2329;153
2330;181
2331;159
2332;151
2333;177
2334;126
2335;113
2336;163
2337;163
2338;130
2339;168
2340;185
2341;154
2342;134
2343;160
2344;150
2345;144
2346;140
2347;166
2348;166
2349;155
2350;171
2351;154
2352;149
2353;140
2354;185
2355;186
2356;220
2357;202
2358;184
2359;184
2360;159
2361;191
2362;155
2363;157
2364;204
2365;166
2366;177
